date,open,high,low,close
9/4/2015,629.7,634.5,626.5,628.96
9/3/2015,647.93,651.25,633.8073,637.05
9/2/2015,638.64,645,630.64,644.91
9/1/2015,633.66,644.44,625.06,629.56
8/31/2015,656.26,664.41,646.35,647.82
8/28/2015,665.11,667,653.75,659.69
8/27/2015,672,673.9799,651.1,667.96
8/26/2015,643.1,662.48,630.37,659.74
8/25/2015,646.4675,647,618.05,626.37
8/24/2015,600.6,644.33,593.09,620.58
8/21/2015,671.04,672.89,645.5,645.87
8/20/2015,689.1,696.16,675.2801,679.48
8/19/2015,690.11,700.2,686.8,694.04
8/18/2015,691.07,695.7568,685.32,688.73
8/17/2015,688.04,694.74,683.06,694.11
8/14/2015,684.04,692.26,682.9,689.37
8/13/2015,689.2,694.03,682.18,686.51
8/12/2015,694.49,696,680.51,691.47
8/11/2015,699.58,704,684.32,690.3
8/10/2015,667.09,671.62,660.23,663.14
8/7/2015,667.78,668.795,658.87,664.39
8/6/2015,673.99,674.75,660.73,670.15
8/5/2015,665.75,679.91,665.5827,673.29
8/4/2015,664.34,668,660.51,661.28
8/3/2015,657.66,666.67,657.66,664.72
7/31/2015,664.7,664.9999,657.2,657.5
7/30/2015,657.44,668.05,651.69,664.56
7/29/2015,662.26,663.33,652.84,661.43
7/28/2015,661.76,664.1,653.41,659.66
7/27/2015,651.57,667.07,651.55,658.27
7/24/2015,676.77,677.79,653.18,654.77
7/23/2015,691.85,696.07,671.59,674.73
7/22/2015,694.02,713.33,691.62,695.1
7/21/2015,684.88,705.6,684.15,695.35
7/20/2015,688.98,697.8,681.77,692.84
7/17/2015,680,703,678,699.62
7/16/2015,589.5,604.5,604.5,601.78
7/15/2015,583.74,588.69,580.21,583.96
7/14/2015,574.5,589.7087,574.17,584.18
7/10/2015,553.71,559.29,552,556.11
7/9/2015,548.65,548.88,544.62,544.65
7/8/2015,545.6,548.28,541.2,541.7
7/7/2015,547.43,551,539.85,550.03
7/6/2015,542.25,548.58,542.095,545.62
7/2/2015,544.74,548,543.57,547.34
7/1/2015,543.66,545.81,539.76,543.3
6/30/2015,545.09,545.9,539.54,540.04
6/29/2015,546.75,550.9,540.24,541.25
6/26/2015,559.71,560,551.85,553.06
6/25/2015,560.3,563.14,557.455,557.95
6/24/2015,562.48,562.64,556.81,558.57
6/23/2015,559.79,564.9,557.15,563.39
6/22/2015,559.41,565.61,558.91,559.68
6/19/2015,556.52,557.91,552.258,557.52
6/18/2015,548,557.25,548,556.18
6/17/2015,545.42,548.36,541.81,546.6
6/16/2015,544.48,546.69,541.5724,544.87
6/15/2015,542.73,544.05,539.21,543
6/12/2015,547.15,548.85,545.63,547.47
6/11/2015,554.49,554.83,549.17,550.04
6/10/2015,545.7,554.78,545.11,552.6
6/9/2015,543.42,544.84,538.8506,542.16
6/8/2015,549.61,549.87,542.95,543.48
6/5/2015,552,553.33,547.384,549.53
6/4/2015,552.18,555.96,549.12,551.69
6/3/2015,555.1,557.99,552.15,555.29
6/2/2015,547.43,558.79,546.55,553.95
6/1/2015,548.73,550.57,543.58,549.21
5/29/2015,553.2,553.94,545.04,545.32
5/28/2015,553.79,555.76,550.8,554.18
5/27/2015,548.68,555.29,546.5813,554.25
5/26/2015,552.58,553.3305,542.97,547.19
5/22/2015,554.46,558.24,553.62,554.52
5/21/2015,550.2,557.61,549.301,556.81
5/20/2015,550.92,556.065,545.1,552.51
5/19/2015,548,553.4,547.12,549.28
5/18/2015,543.82,548.34,542.25,546.67
5/15/2015,550.39,550.6,542.5,546.49
5/14/2015,543.97,549.69,542.5,549.2
5/13/2015,540.47,543.84,538.98,539.74
5/12/2015,542.81,542.961,535,538.73
5/11/2015,548.49,553.3699,545.6,545.78
5/8/2015,548.87,552.8,548.03,548.95
5/7/2015,535.9,545.2,533.45,542.04
5/6/2015,542.64,543.93,532.235,535.08
5/5/2015,550.16,552.61,542.37,543.045
5/4/2015,550.99,556.69,547.39,552.84
5/1/2015,550.51,551.22,543.85,551.16
4/30/2015,558.56,561.11,546.72,548.77
4/29/2015,560.51,565.84,559,561.39
4/28/2015,564.32,567.83,560.96,564.37
4/27/2015,572.77,575.52,562.3,566.12
4/24/2015,580.05,584.7,568.35,573.66
4/23/2015,550.41,561.17,550.08,557.46
4/22/2015,543.06,551,541.32,549.18
4/21/2015,546.31,547.7745,542.21,542.925
4/20/2015,533.75,545.8,533.35,544.53
4/17/2015,537.31,539.8,529,532.74
4/16/2015,538.35,545.229,538.1,543.52
4/15/2015,537.96,543.19,532.37,541.04
4/14/2015,546.57,546.57,535.74,539.78
4/13/2015,547.05,553.27,546.3,548.64
4/10/2015,549.57,549.85,544.98,548.54
4/9/2015,549.21,549.37,541.951,548.02
4/8/2015,546,551.5,546,548.84
4/7/2015,544.99,550.16,543.585,544.86
4/6/2015,538.84,545.54,535.7,543.95
4/2/2015,547.41,548,540.44,541.31
4/1/2015,554.83,558.5,546.03,549.49
3/31/2015,557.94,562.45,554.67,554.7
3/30/2015,560.25,562.16,556.79,561.135
3/27/2015,561.83,564.066,556.93,557.55
3/26/2015,564.65,567.19,558.31,563.64
3/25/2015,577.57,580.07,567,567
3/24/2015,568.54,581.88,568.09,577.54
3/23/2015,566,569.6399,563.06,565.37
3/20/2015,566.71,567.1,564.48,564.95
3/19/2015,564.52,566.96,562.12,563.67
3/18/2015,557.73,566.51,553.5,566.16
3/17/2015,558.29,560.64,554.41,557.61
3/16/2015,556.93,563.75,551.32,561.64
3/13/2015,559.23,564.36,550.33,553
3/12/2015,558.48,561.84,555.53,561.17
3/11/2015,559.8,564.18,555.41,555.69
3/10/2015,568.475,569.762,559.82,559.85
3/9/2015,570.92,575.45,569.05,574.1
3/6/2015,582,582.78,572.06,572.9
3/5/2015,579.62,583.2,578.23,581.435
3/4/2015,576.97,581.63,572.52,578.33
3/3/2015,576.35,580.85,570.5,578.795
3/2/2015,567,575.99,563.15,575.02
2/27/2015,558.15,569.42,557.03,562.63
2/26/2015,545.74,560.1299,545.09,559.29
2/25/2015,538.44,549.57,538.01,547.33
2/24/2015,531.55,539.4,531,538.65
2/23/2015,539.15,539.3,532,535
2/20/2015,547.58,547.58,538.1,541.8
2/19/2015,541.78,546.86,540.75,546.45
2/18/2015,543.82,547.55,539.55,542.65
2/17/2015,551.16,553,543.26,545.01
2/13/2015,547.51,552.54,546.6,551.16
2/12/2015,540.01,548.34,537,546.01
2/11/2015,539.73,541.95,536,538
2/10/2015,532.15,541,529.1725,540.16
2/9/2015,531.6,533.88,527.55,529.28
2/4/2015,533.14,536.746,525.03,526.1
2/3/2015,529.94,537.45,526.81,533.3
2/2/2015,534.32,536.5,521.72,532.2
1/30/2015,519.17,543.1,518.18,537.55
