,d,clg,cl
1,1/3/2011,604.35,603.9287785
2,1/4/2011,602.12,602.0385177
3,1/5/2011,609.07,608.4239014
4,1/6/2011,613.5,616.5646574
5,1/7/2011,616.44,613.5407466
6,1/10/2011,614.21,610.6803177
7,1/11/2011,616.01,616.3032128
8,1/12/2011,616.87,616.0267279
9,1/13/2011,616.69,617.1554133
10,1/14/2011,624.18,622.819568
11,1/18/2011,639.63,638.3664784
12,1/19/2011,631.75,633.4609605
13,1/20/2011,626.77,627.0732225
14,1/21/2011,611.83,619.9402724
15,1/24/2011,611.08,606.833695
16,1/25/2011,619.91,617.0721407
17,1/26/2011,616.5,618.3751709
18,1/27/2011,616.79,615.967572
19,1/28/2011,600.99,605.5367253
20,1/31/2011,600.36,598.3197527
